brand,model,year,transmission,mileage,fuelType,engineSize
bmw, X6,2016,Semi-Auto,38680,Diesel,3.0
merc, GLB Class,2020,Semi-Auto,1508,Diesel,2.0
bmw, Z4,2020,Semi-Auto,5,Petrol,2.0
bmw, 6 Series,2015,Automatic,40517,Petrol,3.0
vw, Arteon,2019,Manual,5000,Diesel,2.0
vauxhall, Combo Life,2020,Manual,1858,Petrol,1.2
vw, Tiguan Allspace,2019,Automatic,6750,Diesel,2.0
skoda, Scala,2019,Manual,4451,Petrol,1.0
merc, M Class,2015,Automatic,25653,Diesel,2.1
merc, X-CLASS,2018,Automatic,21000,Diesel,2.3
bmw, M5,2019,Automatic,13000,Petrol,4.4
bmw, X6,2019,Semi-Auto,4000,Petrol,3.0
bmw, 7 Series,2019,Automatic,339,Petrol,3.0
bmw, X4,2020,Semi-Auto,2679,Petrol,3.0
ford, Grand C-MAX,2017,Manual,35853,Diesel,1.5
skoda, Rapid,2013,Manual,44000,Petrol,1.2
